reference,base_prediction
dia macam tu lah, ia macam tu ah
tapi ada satu, lb adisa 2
betul, baiklah
betul, bitu
dia [UNK], di kini
tapi dia tipu, terpilih di boom
ha dia kata dia kata apa ni virus tu makin makin sikit kan tapi sebenarnya ramai yang kena, dia kata apa ini virus makin sikit jadi sebenarnya ramai kena
ada [UNK] ada satu virus ni kita punya kita Malaysia je kena masa tu sembilan belas masa tu sembilan belas berapa entah kan ah Nipah virus, ada satu virus ini kita menisi saja masa itu 19 masa itu 19 rapa dahan nipah virus
[UNK] ah Nipah daripada pokok nipah masa [UNK] masa tu ramai memang ramai sangat-sangat yang meninggal sebab virus tu sebab kita tak kat Malaysia kita tak kita tak jumpa vaksin tu sekali sekali jumpa vaksin tu kan terus selamatkan, ni pah daripada pokok ni pah masa tu ramai memang ramai sangat yang meninggal sebab virus tu sebab kita tak kat malaysia kita tak jumpa vaksin tu sekalisekali jumpa vaksin tu kan terus selamatkan
Nipah Virus bahaya weh dekat dua ratus lebih orang meninggal, ni pah virus bayi di dekat 200 lebih orang ninggal
aku sebenarnya aku dah lama tahu tu pun daripada mak aku, aku sebenarnya aku dalam beritahu tu pandai pada mak aku
tapi, sampai jumpa di
hm em, mmmm
ya, ayuh
aku pun aku pun tak tau macam mana tapi, aku pun tak tahu macam mana tapi
entahlah mungkin ada [UNK] ada sautu yang dekat pokok nipah tu kita tak boleh nak, mungkin ada sesuatu yang di pokok nipah kita tak boleh nak
er pegang or ah ataupun, begang atau poin
sentuh ke kan, senjur ke in
mungkin ada orang buat macam kajian ke dekat pokok nipah tu sampai, mungkin ada orang buat kajian ke di buk ni
kita tak tau, bidak dahul
bertindaklah, betinda ah
nak lagi yang kita ada sekarang doktor tu, lagi yang kita ada sekarang doktor itu
Doktor Noor Hisham tu, lek denger isyam tu
memang memang [UNK] memang semua tabik ah kat dia sampai luar negara pun cakap cara dia ah kawal Covid ni, memang semua tabi kat dia sampai luar negara pun cakap cara dia kawal covid ni
memang bagus, memang bagus
kitakan Malaysiakan kena puji, kita kan minyak sikapsikap puji
sebab kawal co- Covid tu, sebab kawal covid19
kan, okey
saya sebenarnya betul, saya sengaja berkongsi
betul biasalah duniakan, dan juga kita akan membuatnya
so, jadi
jagalah kesihatan, ya kelas ke siap
jagalah diri, jika kita diri
okey, okey
bye bye jaga diri bye bye, bye bye jaga diri bye bye
Hairi, hai li
kau tengah buat apa tu, ketawa apa itu
oh ka-kau tengah ni eh nak cari phone baru ke, oh kau dengan ni enak encik ifan baru
dengan dengan mak mak dengan mak engkau la, dengan mak kau lah
ah dengan, danian
dengan family eh, ntukar keluarga
oh kau tengah kau tengah search eh nak cari mana phone baru, kau tengah set jalan nak cik mana phone baru
oh, oh
yang phone kau rosak tu, ya phone kurakura satu
kau ah kat, kau agaknya
oh masuk air, umur saya
erm hm, hmm
oh maksudnya, masaknya
macam ni la tak, kita akan berdua
kalis air la kan ada phone yang kalis air kan, kali saya kena dienfuni kali saya
ni kau tak-kau tak nak beli ke phone yang kalis air tu macam, kau tak nak beli ke telefon yang kalesan saya tu macam
ya la macam walaupun kos [UNK] macam harga dia mahal tapi masih jaga phone kau la, jelah walaupun kusmar macam harga dia alaalá pilih masih jaga telefon kau lah
so macam phone kau tahan lama, so much folkotan amat
oh phone kau yang kalis air, oh pun kaya yang kaya saya
ko search la aku aku pernah je nampak tapi aku tak tahu la yang mana, kau sejalah aku pernah je nampak tapi aku tak tahu lah yang mana
sebab dia punya pun macam, sebab dia punya pun macam
oh ni la aku tahu aku tahu yang iPhone tu iPhone yang baru tu, oh ni lah aku tahu aku tahu yang iphone tu iphone yang baru tu
iPhone Sebelas, saya selamatkan
X, x
iPhone Ten iPhone Sebelas, iphone x iphone 11
oh bajet kau bawah dua ribu, oh masjid kembali dulu ibu
tak tahu la yang aku tahu cuma ni je la Apple, tak tahu lah yang aku tahu cuma ni je lah apple
R O G, aroji
skrin besar oh biar senang la, rimbosa oh biasa dengannya
oh aku pun sekarang pakai yang ram besar sebab ni en macam, oh aku pun sekarang pakai yang ram besar sebab ni macam
bila main game je [UNK] tak lag la, bila main game je tak lewat ah
ha yang yang phone sekarang ni kau pakai phone mak kau eh, yang ful sekarang ni kopak kira ful makkau eh
oh phone lama mak kau, oh pun tak sama makau
yang kau nak cari yang baru ni yang ram tinggi lagi, jangan kena cari yang baru ini yang rem tinggi lagi
kalau aku, kulaku
kalau aku aku sarankan baik kau ambil yang macam memori dia besar so macam gambar kau banyak ke apps kau banyak ke so macam tak ni la, kalau aku saya rakan betkombik yang memori besar jadi macam gambar kau banyak ke apps kau banyak ke jadi macam tak nilah
macam kalau yang memori kecil, macam kalau yang mewoli kecil
kan dia macam kau macam banyak sikit kau punya apps kan nanti dah penuh dah gambar kau banyak sikit nanti dah penuh, kan dia macam banyak sikit kau punya app send nanti dah penuh dah gambar kau banyak sikit kan nanti dah penuh
ha ah [UNK] tapi, tabi
kau nak, kau nak
ram besar eh macam Redmi ke, rimbu saya macam redminya
memori memori pun kadang-kadang ha ya lah boleh tahan lah, memori berapa sekarang ya lah boleh tahanlah
lagi satu bateri pun ar lambat lambat habis la, 1 bateri pun lambat ambis
harga pun murah en berpatutan, harga bubur muraen bubatutnya
so macam kalau bawah dua ribu memang kau akan dapat la mcam ya la senang lagi pun, so macam kalau bawa 2000 itu memang kau akan dapat macam ialah senang lagi pun
kat mana mana pun dah ada jual kan, kat manamana pun dah ada jualan
Samsung, sampai jumpa
Samsung Samsung yang mana, samsung samsung mana
kan sekarang ada dah banyak dah, kan sekarang ada dah banyak dah
oh, oh
ha ah, uh oh
bateri pun tahan kan, b3 pun tahan kan
sekarang aku pakai, terima kasih kerana beritahu saya
ni je android biasa, ini adalah android
ni pun aku pinjam kakak aku punya, ni pun nak aku bina ke katakku ni
sebab nanti bulan sepuluh nanti mak aku nak belikan yang baru, sebab bulan sebelum nanti aku nak beli yang baru
ha ah, uh oh
yang phone ni pun kadang-kadang bermasalah kadang-kadang dia macam termati sendiri, yang phone pun sekarang bermaksa allah sekarang dia macam temati sendiri
macam ya la lagi pun dah lama kan, macam jelah lagi pun dalam huin
mungkin mak aku nanti beli yang baru tu lagi okey la dari yang ni, mungkin mak kumiliti beri yang baru itu lagi okey lah dari ini
[UNK] apa, siapa
ha dah, aduh
ha ah aku dah aku dah search dah, aku dah aku dah sejarah
aku nak beli phone ni la, aku nak beli untuk nila
iPhone Seven, i47
sebab, sibah
ha ah lagipun iPhone Seven ni dia mcm boleh update lagi dia punya I O S kan sekarang dah ada I O S baru kan, haa lagi pun iphone 7 ini macam boleh update lagi dia punya ios kan sekarang dah ada ios baru kan
boleh lagi update, walaupun abdu
so macam, so much
ikut trend lah, ikut trainer
ha tu la bateri dia je so kau kena sediakan la powerbank, tula bete saja so kakak kena serikanlah power bank
dekat mana mana kan kau nak pergi mana mana sediakan powerbank ke caj ke kan, dekat mana mana kau nak gimana sidi gambar bangga chest keran
macam kau ni [UNK] ah, macam kau ni
ya la kelemahan je la [UNK], yalah kelemarannya sudah siap
setiap ni mesti ada kelemahan kan, setiap imisi ada kelemaran
kekurangan lepas tu kelebihan, kekurangan pasukan lebih hain
contoh macam iPhone ni macam, jika tu macam iphone ni macam
kelebihan dia [UNK] ah kelebihan dia banyak la juga, kelebihan dia kelebihan dia banyak juga
macam kamera pun lawa, macam kemari pun awal
hm erm bateri pun semua okey, mereka akan tanya
kalau phone phone Samsung ah, kau dah fulang samsung ah
kau tak nak try cari yang lain ke dari Samsung je macam cari yang macam, kau tak nak caricari yang lain ke depan soangsangat macammacam
ah yang lain-lain lain daripada yang lain, yang lainlain lainlainlain
oh macam barang dari China macam ni kurang ni la China ni kurang ni, oh macam barang dari china ini kurang ni lah china ni kurang ni
oh, hmm
kalau macam, terima kasih
oh centre, oh sint
ha ni hari tu ada juga kakak aku tanya kan dia [UNK] dia nak beli lah dia nak beli apa, harithor kakak aku tanya dia nak beli apa
nak beli laptop baru, nak beli laptop baru
kau tahu tak laptop yang macam murah lepas tu bagus laptop apa eh, kau tak laptop yang macam bura pasul bagus laptop apa ya
laptop Asus eh, leptop ssr
oh, hmm
apa, abut
H P dengan Toshiba tu pun bagus eh, hespi dengan toshiba itu pembalasan
oh, oh
harga dia harga dia mahal tak, hargiri malah
kan aku ah kan aku ada bagitahu kau yang aku nak ni kan masuk multimedia photographer kan, kenapa aku ada beritahu kau yang aku nak ni kan masuk multimedia fotografi kan
ha, ah
aku rasa macam ya la kan bila masuk tu mesti nak kena ada kamera sendiri en tak kan nak pinjam pinjam orang, aku rasa macam ialah kan bila masuk tu masih nak kena ada kamera sendiri diend takkan nak pinggirpijam orang
ha boleh tak eh ah, uhhh
kau suggest kan lah, sekarang kita akan pergi ke sana
kamera apa kamera apa yang ni bagus ke berkualiti, camera apa yang bagus ke bukuan
tak [UNK] kamera saja, tak kan kamburu saya juga
kamera yang berkualiti, camera yang berkualiti
kalau yang ni kalau yang dengan telefon sekali telefon yang kamera bagus, kalau yang ini kalau yang dengan phones kali phone yang kamera bagus
haaa kalau kameroh, saya akan lepaskan
eleven bateri okey eh, ili membetulkan saya
dia macam dah ni dah naik taraf la bateri dia tahan lama eh, jadi macam ini dah upgrade air battery dah lama
oh, hmm
okey la tu jugak macam ye la bawah kalau macam bajet aku bawah dua ribu la, okay lah itu juga macam yalah bawa kalau macam bagi aku bawa 2000 lah
so macam, terima kasih
tapi kan aku dengar cerita S E ni kecik so aku macam, tapi aku dengan cita se ini kecil
tangan aku ni dah la besar tak kan nak pakai kecik kecik kan, terang aku ni dah lah besar terang nak baki ricarica ni
sebab tu tadi aku cakap ni nak apa nak ambil Iphone seven je, bagaimana tadi aku cakap ni nak pun nak ambil iphone 7 je
lagi satu dia pun macam tak de la ni sangat, dan satu dia pun macam tak adalah ni sangat
tak de lah besar sangat tak de la kecil sangat macam sedang sedang je, tak adalah besar sangat tak adalah kecil sangat macam sedangsedang
[UNK] kau tahu tak macam Iphone ni kan kan ada member aku cerita kan yang dia pak yang pakai telefon ni dia kata, contohnya aku tak mahu syarikat iphone kan kan aku ada minggu aku cita dia pakai iphone ni dekat tu
dorang kalau chat ke apa tak payah internet sebab dah ada apps sendiri yang free, jika mereka cek tak yakin pakai internet sebab ada app selirian free
ada aaa ada haa apps, saya melakukan
apps Apple tu sendiri la macam mesej mesej dia sendiri boleh call free macam Face Time kalau nak meeting dengan member kau ke, apple itu sendiri lah mesej sendiri boleh call free facetime kan kalau akan nak vc dengan memberkau ke
kalau kau nak member, kalau kau nak mibir
kalau kau nk vc dengan kau ke kau boleh guna FaceTime, kalau kau nak visi kami berkawga kau boleh guna facetime
lagi satu [UNK], isat tu
haa dia Iphone dengan Iphone je, iphone 2x4
kalau yang lain tu kena lah macam pakai Whatsapp ke, kalau yang lain itu kena macam pakai whatsapp ke
haah, aaaaah
kalau, kalo
ha ye la betul la tu, ya ialah saya akan terima tu
kalau ni, kalau ni
Samsung tak de ni ke boleh sambung-sambung ke, samsung tak ada ni kan boleh selambung ke
macam free yang free punya, matiang free niang free punya
oh, uh
haa yang yang latest laah, yang litty sa
yang latest punya Samsung lah, yang telah mempunyai samsung
erm, hmm
kau ingat tak dulu kau ingat tak dulu masa masa dulu kan mesti, kau ingat tak dulu kau ingat tak dulu masa masa dulu kan masih
su mesti susahkan kalau [UNK] orang orang dulu mesti susah kan pakai ni apa, terima kasih susah bukan awak buat orangorang dulu maka ini susah apa
pakai telefon awam telefon awam pakai surat ke kan, bagaimana telefon awam telefon awam pilih surat
yalah nak nak, yelain nen
nak kena jalan jauh lepas tu cari telefon lepas tu bawa duit lagi kan, nak kena jalan jauh pasul cari telefon baltuh bawa duit lagi kan
satu minit dua puluh sen, satu minit dua puluh cin
iyalah telekomunikasi ni ah ni lah kerajaan ada inisiatif lah untuk maju kan lagi kan, yalah terkongsi kemulungan sini ni lah kerajaan ada desa untuk maju keananagian
so lagi senanglah lagi mudah nak buat macam [UNK], so lagi senang lah lagi mudah nampak macam mera
macam pasal kes Covid pun orang senanglah dapatkan, macam pasal kis covid19 menurung senanglah dapetan
macam ah ah informasi, macam informasi
kes positif baru ke apa macam mana cara untuk ni pun orang tengok macam slight slight dapat jumpa, kes positif baru ke apa macam mana cara untuk ni pun orang tengok macam slag slag je dapat rumpa
so maksud macam, so macam
jaga sosial macam, jaga sosial masyaaaap
macam kalau Perdana Menteri nak ni ke, macam kalau pendana menteri nak ni ke
dia macam ha iyalah nak bagitahu ada pengumuman ke, jadi macam ah ialah nak beritahu ada pengumuman ke
lagi, nek
ha ah dorang guna untuk ni yang macam, haa ada orang guna untuk ni macam
masalah sosial yang makin bertambahlah macam iyalah ada orang yang macam tak jaga, masa asursial makin bertambah lah macam yalah ada orang yang macam tak jaga
tak jaga ni lah macam imej, tak jaga nila macam image
tak adalah, baiklah
sebab negara luar pun ada macam ni, sebab negara luar pun ada macam ni
macam imej, macam emis
imej masyarakat, imi masyarakat
ha di [UNK] sendiri la macam maruah ke macam yalah, di musis ini macam marwah macam ialah
ha nak macam pentingkan dirilah lepas tu, anak macam pentingkan diri lah lepas itu
macam kalau tak ni kan dia orang macam senang kan macam nak cari macam, kalau tak ni kan dia orang sedangkan macam nak cari macam
apa ni yang, apunee yang
yang macam, ya maaf
[UNK] dia orang macam tak jaga kan, pornografi mereka macam tak jaga kan
itulah macam, itulah masyam
keburukan dia, keburu kenyataan
ha ah, haa
iyalah, you know
mesti satu warung tu mesti ada yang baik yang buruk, masih satu barang itu masih ada yang baik yang buruk
so gunalah benda tu baik baik, jadi guna benda itu baik baik
daripada yang buruk, dipada yang buruk
mungkin tu masa mungkin tu masih ni lagi kot ah member dia, mungkin itu masih mungkin itu masih mereka pergi ke membel dia
pengaruh, pengaruh
lagi satu ah nilah, ada satu ni lah
kalau macam nak cari apa apa kan senangkan, kalau macam nak cari apaapa kan senang kan
contoh macam kerja kau tak siap ke, contoh macam kerja kau tak siap ke
mencontoh macam sejarah sejarah, macam mana tu baca si jara si jara
macam sejarah [UNK] kan mesti cari ni kan apa jawapan selidik kan, macam sejarah kita serikan mesti cari nian apa jawapan seri n
so macam senang kan cari kat Internet ke, so macam senang nak cari internet
macam kau nak tahulah macam, macam kau nak tahu lah macam
ah apa lagi macam nak cari tempat, apa lagi macam nak cari tempat
tempat bercuti ke kan senang dia macam kau dekat hujung, tempat becutia kan senang macam kau dekat ujung
kau cari app dia je kau download app lepas tu kau search je nak cari kat mana, kau cari apps dia je kau download apps sepasih kau stitch je nak cik kau ne
daripada kau daripada cari dekat, daripada kau daripada cari dekat
ha ah, ah
cari kat surat khabar ke, cerika sebab apa
mudahlah, mudah lah
so macam, sama macam
jimat masa, di masa ini
tak adalah buang masa dari ni daripada ni kan, tak adalah bawa masa dari ni daripada ni kan
banyak lagi benda nak buat, banyak lagi benda nak buat
macm aku hari tu juga ada ni kan masak mas, macam aku hari tu juga ada ni masak masak
ha ah macam aku hari tu kan ada buat masak masak kan tu pun aku tengok dekat phone juga so macam, haa macam aku hari itu kan ada buat masamasaan itu pun aku tengok dekat telefon juga so macam
senang kan lagi senang dari lagi senang dari kau tengok buku ah, senang dari kawal tengok bukuah
lagi satu [UNK] ada banyak nak cari macam dalam buku kan kadang kadang dia macam, dan satu ada pun ada banyak nak cari macam kerana bukakan kerana dia macam
tertumpu pada macam western western je, tumpuh pada macam westernwesternya
kau ah, kau
betul tak kalau western western je, tak nak wasting wasting you
macam kalau, selamat jalan
ha yalah lepas tu, ah iya ia pasir
lepas tu kita nak cari nak cari resepi lain lagi, lepas itu kita nak cari resep lain lagi
nak kena beli buku lain lagi macam [UNK] kalau guna phone ke apa kan senangkan macam, nak kena beli buku lain lagi macam kalau guna phone ke apa kan sendang kan macam
taip je terus dapat, terima kasih kerana menonton
ah betul lah tu, ah tu lezu
hak, ha
ha ah, haa
ah betul la itu, ah berterima kasih
ah okey la, okey lah
ah ini ah, aa ni aa
ada ini, ada ni
orang orang datang okey, saya saya sudah berada di jalan yang besar
okey, okey
ha hai aku rasa kau patut makan nasi lemak, hai aku rasa kau patut makan nasi lemak
sebab, sebab
sebab nasi lemak tu makanan yang sangat famous dekat Malaysia, sebab nasi lemak itu makannya yang sangat famous di malaysia
rasa dia, asyiru
boleh tahan kalau, bulitahan kalau
kalau macam, selamat jalan
ada, adoo
dia boleh, di bole
makan dengan pelbagai jenis ah ayam boleh, makan dengan pergai jenis ah ayam boleh
sotong boleh sotong sambal, soto muli soto sambal
um, hmm
bahan bahan dia kau kena ada santan, bambahannya kau kena adil santai
ada halia, aduhal you
ah, aaaaah
santan halia tu kau gabungkan dalam nasi lemak tu, santana itu kau gabungkan dalam nasi lemak itu
nasi tu yang kau nak ah tanak, nasi tu yang kau nak tanak
hiasan dia ikut daripada kreativiti engkau kau nak buat hiasan dia macam mana, yasanya ikut dari kera tv tingkau kau nak buat yasanya macam mana
ah kalau kau nampak lagi menarik buat hiasan tu ca-cantik dan tak ada comot comot pada makanan tu, kalau nak nampak lagi menarik buat ia sentuh cantik dan tak ada comotcomot pada makanan tu
um tak pasti tapi dia memang makanan, tak pasti tapi dia memang makanan
makanan orang Malaysia, macam mana nak menyebabkan kamu
semua orang boleh makan, semua orang boleh makan
ha kalau sambal dia, kita akan sambal dia
kita kena guna um, kita pergi dulu
bawang lada kering lepas tu blender, bawang ladar kering lepas itu blender
and then, dan kemudian
ha, ayo
lepas tu dah tu, pasal udang tu
kau goreng kan ha sambal dia tu ha ikut macam mana kau nak pedas ke tak nak ke, kau gorengkan sambal itu ikut macam mana kau nak pedas ke tanak ke
okey, okey
K boleh apa lagi makanan yang kau nak, okey boleh apa lagi makannya yang kau nak
bagi aku apa yang sedap makanan Malaysia, bagi aku aku akan sedap makanan resia
