reference,base_prediction
oh phone kau yang kalis air, oh fungkinya gelisah ye
ko search la aku aku pernah je nampak tapi aku tak tahu la yang mana, kostich lah aku aku pernah je nampak tapi aku tak tahulah yang mana
sebab dia punya pun macam, sebab dia punya pun macam
oh ni la aku tahu aku tahu yang iPhone tu iPhone yang baru tu, oh ni lah aku tahu yang iphone tu iphone yang baru tu
iPhone Sebelas, haifu sibles
X, x
iPhone Ten iPhone Sebelas, iphone x iphone 11
oh bajet kau bawah dua ribu, oh masih kembali dulu
tak tahu la yang aku tahu cuma ni je la Apple, tak tahulah yang aku tahu cuma ni je lah apple
R O G, aduh zee
skrin besar oh biar senang la, rim besar oh dia sering nak
oh aku pun sekarang pakai yang ram besar sebab ni en macam, oh aku pun sekarang pakai yang ram besar sebab ni kan macam
bila main game je [UNK] tak lag la, bila main game je tak lag lah
ha yang yang phone sekarang ni kau pakai phone mak kau eh, haa yang phone sekarang ni kau pakai yang phone mak kau eh
oh phone lama mak kau, oh fernama macau
yang kau nak cari yang baru ni yang ram tinggi lagi, yang kau nak cari yang baru ni yang rem tinggi lagi
kalau aku, kelaku
kalau aku aku sarankan baik kau ambil yang macam memori dia besar so macam gambar kau banyak ke apps kau banyak ke so macam tak ni la, kalau aku sarankan bag kau ambil yang macam memori dia besar so macam gambar kau banyak ke apps kau banyak ke so macam tak ni lah
macam kalau yang memori kecil, macam kalau yang memori kecil
kan dia macam kau macam banyak sikit kau punya apps kan nanti dah penuh dah gambar kau banyak sikit nanti dah penuh, kan dia macam kau macam banyak sikit kau punya apps kan nanti dah penuh dah gambar kau banyak sikit kan nanti dah penuh
ha ah [UNK] tapi, tapi
kau nak, kena
ram besar eh macam Redmi ke, ram besar eh macam redmi ke
memori memori pun kadang-kadang ha ya lah boleh tahan lah, memori memori apa kadangkadang yelah boleh tahan lah
lagi satu bateri pun ar lambat lambat habis la, bateri pun lambat habis lah
harga pun murah en berpatutan, harga pun murah kan berpatutan
so macam kalau bawah dua ribu memang kau akan dapat la mcam ya la senang lagi pun, so macam kalau bawah rm2000 tu memang kau akan dapat lah macam yelah senang lagi pun
kat mana mana pun dah ada jual kan, kat manamana pun dah ada jualan
Samsung, samsung
Samsung Samsung yang mana, samsung samsung yang mana
kan sekarang ada dah banyak dah, kan sekarang ada dah banyak dah
oh, oh
ha ah, haah
bateri pun tahan kan, bateri pun tahan kan
sekarang aku pakai, terima kasih kerana menonton
ni je android biasa, ni je android biasa
ni pun aku pinjam kakak aku punya, dia pun nak aku pinjam ke kat aku punya
sebab nanti bulan sepuluh nanti mak aku nak belikan yang baru, sebab nanti bulan 10 nanti mak aku nak belikan yang baru
ha ah, haa
yang phone ni pun kadang-kadang bermasalah kadang-kadang dia macam termati sendiri, yang phone ni pun kadangkadang bermasalah sekarang dia macam termati sendiri
macam ya la lagi pun dah lama kan, macam yelah lagipun dah lama kan
mungkin mak aku nanti beli yang baru tu lagi okey la dari yang ni, mungkin mak aku nanti beri yang baru tu lagi okey lah dari yanni
[UNK] apa, sej apa
ha dah, ada
ha ah aku dah aku dah search dah, aku dah sejarah
aku nak beli phone ni la, aku nak beli for nila
iPhone Seven, iphone 7
sebab, sebab
ha ah lagipun iPhone Seven ni dia mcm boleh update lagi dia punya I O S kan sekarang dah ada I O S baru kan, haa lagi pun iphone 7 ni dia macam boleh update lagi dia punya ios kan sekarang dah ada ios baru kan
boleh lagi update, boleh lagi update
so macam, semua yang saya
ikut trend lah, ikut trainer
ha tu la bateri dia je so kau kena sediakan la powerbank, tu lah bateri dia je so kau kena silikkan lah power bank
dekat mana mana kan kau nak pergi mana mana sediakan powerbank ke caj ke kan, dekat manamana kan kalau kau nak pergi manamana sedih kan bawa bengkel cas ke kan
macam kau ni [UNK] ah, macam kau ni
ya la kelemahan je la [UNK], ya kelemahan dia siap
setiap ni mesti ada kelemahan kan, sebab ni mesti ada kelemahan kan
kekurangan lepas tu kelebihan, kekurangan lepas tu kelebihan
contoh macam iPhone ni macam, contoh macam iphone ni macam
kelebihan dia [UNK] ah kelebihan dia banyak la juga, kelebihan dia banyak lah juga
macam kamera pun lawa, macam gemeru pun lah wah
hm erm bateri pun semua okey, bedri pun semuanya
kalau phone phone Samsung ah, kalau fun samsung lah
kau tak nak try cari yang lain ke dari Samsung je macam cari yang macam, kau tak nak cari yang lain ke dari samsung je macam cari yang macam
ah yang lain-lain lain daripada yang lain, yang lainlain lainlain lainlain
oh macam barang dari China macam ni kurang ni la China ni kurang ni, oh macam barang dari china ni macam kurang ni lah china ni kurang ni
oh, terima kasih kerana menonton
kalau macam, kena macam
oh centre, oh cinta
ha ni hari tu ada juga kakak aku tanya kan dia [UNK] dia nak beli lah dia nak beli apa, haa ni hari tu ada juga kakak aku tanya dia nak belilah dia nak beli apa
nak beli laptop baru, nak beli laptop baru
kau tahu tak laptop yang macam murah lepas tu bagus laptop apa eh, kau tahu tak laptop yang macam murah lepas tu bagus laptop apa kan
laptop Asus eh, lep top ss eh
oh, hmm
apa, aba
H P dengan Toshiba tu pun bagus eh, hp dengan toshiba itu pun bagus lah
oh, oh
harga dia harga dia mahal tak, hargiri mahal tak
kan aku ah kan aku ada bagitahu kau yang aku nak ni kan masuk multimedia photographer kan, kan aku ada beritahu kau yang aku nak masuk multimedia fotografi kan
ha, haa
aku rasa macam ya la kan bila masuk tu mesti nak kena ada kamera sendiri en tak kan nak pinjam pinjam orang, aku rasa macam iyalah kan bila masuk tu mesti nak kena ada camera sendiri kan takkan nak pinjampinjam orang
ha boleh tak eh ah, haa kata dia haa
kau suggest kan lah, sekuasidiskan lah
kamera apa kamera apa yang ni bagus ke berkualiti, kamera apa yang ni bagus ke berkualiti
tak [UNK] kamera saja, tak kembar saya je
kamera yang berkualiti, kamera yang berkualiti
kalau yang ni kalau yang dengan telefon sekali telefon yang kamera bagus, kalau yang ni kalau yang dengan phone sekali phone yang kamera bagus
haaa kalau kameroh, ah kongleng kongleng
eleven bateri okey eh, 11 betul yuk ye
dia macam dah ni dah naik taraf la bateri dia tahan lama eh, dia macam dah upgrade lah bateri dia tahan lama eh
oh, oh
okey la tu jugak macam ye la bawah kalau macam bajet aku bawah dua ribu la, okey lah tu juga macam bawa kalau macam majlis aku bawa rm2000 lah
so macam, sebenarnya
tapi kan aku dengar cerita S E ni kecik so aku macam, tapi kan aku dengan cita se ni kecil so aku macam
tangan aku ni dah la besar tak kan nak pakai kecik kecik kan, tengah aku ni dah besar takkan nak buat kirikiri cik kan
sebab tu tadi aku cakap ni nak apa nak ambil Iphone seven je, sebab tu tadi aku cakap ni nak apa nak ambil iphone 7 je
lagi satu dia pun macam tak de la ni sangat, lain satu dia pun macam tak adalah ni sangat
tak de lah besar sangat tak de la kecil sangat macam sedang sedang je, tak adalah besar sangat tak adalah kecil sangat macam sedangsedang ni
[UNK] kau tahu tak macam Iphone ni kan kan ada member aku cerita kan yang dia pak yang pakai telefon ni dia kata, contoh kalau kau tak macam iphone kan kan ada member aku cerita kan yang pakai iphone ni dia kata
dorang kalau chat ke apa tak payah internet sebab dah ada apps sendiri yang free, dia orang kalau chat ke apa tak payah pakai internet sebab dah ada app sendiri yang free
ada aaa ada haa apps, saya telah melakukan
apps Apple tu sendiri la macam mesej mesej dia sendiri boleh call free macam Face Time kalau nak meeting dengan member kau ke, apps apple tu sendirilah macam message message dia sendiri boleh call free macam facetime kan kalau kau nak vc dengan member kau kau kena
kalau kau nak member, kalau kan
kalau kau nk vc dengan kau ke kau boleh guna FaceTime, kalau kau nak vc dengan member kau ke kau boleh guna facetime
lagi satu [UNK], isyatu
haa dia Iphone dengan Iphone je, dia iphone dengan iphone dia
kalau yang lain tu kena lah macam pakai Whatsapp ke, kalau yang lain tu kena lah macam pakai whatsapp ke
haah, haa
kalau, kalau
ha ye la betul la tu, oh dia lambutlambut tu
kalau ni, keloni
Samsung tak de ni ke boleh sambung-sambung ke, samsung tak ada ni ke boleh samsung lambung ke
macam free yang free punya, macam free yang free punya
oh, oh
haa yang yang latest laah, yang latest lah
yang latest punya Samsung lah, yang letes punya samsung lah
erm, hmm
kau ingat tak dulu kau ingat tak dulu masa masa dulu kan mesti, kau ingat tak dulu masa dulu kan masih
su mesti susahkan kalau [UNK] orang orang dulu mesti susah kan pakai ni apa, mesti susah kan kalau orangorang dulu mesti susah kan pakai ni apa
pakai telefon awam telefon awam pakai surat ke kan, pakai telefon awam telefon awam boleh surat je kan
yalah nak nak, 9
nak kena jalan jauh lepas tu cari telefon lepas tu bawa duit lagi kan, nak kena jalan jauh lepas tu cari telefon lepas tu bawa duit lagi kan
satu minit dua puluh sen, 1 minit 20 sen
iyalah telekomunikasi ni ah ni lah kerajaan ada inisiatif lah untuk maju kan lagi kan, yelah telekomunikasi ni ni lah kerajaan ni ada inisiatif lah untuk majukan lagi kan
so lagi senanglah lagi mudah nak buat macam [UNK], so lagi senang lah lagi mudah nak buat macam nak
macam pasal kes Covid pun orang senanglah dapatkan, macam pasal kes covid pun orang senang lah dapat kan
macam ah ah informasi, macam informasi
kes positif baru ke apa macam mana cara untuk ni pun orang tengok macam slight slight dapat jumpa, kes positif baru ke apa macam mana cara untuk ni pun orang tengok macam slideslide je dapat lupa
so maksud macam, so macam
jaga sosial macam, jaga sosial macam
macam kalau Perdana Menteri nak ni ke, macam kalau perdana menteri nak ni ke
dia macam ha iyalah nak bagitahu ada pengumuman ke, tu macam yelah nak beritahu ada pengumuman ke
lagi, nah ini
ha ah dorang guna untuk ni yang macam, haa ada orang guna untuk ni kan macam
masalah sosial yang makin bertambahlah macam iyalah ada orang yang macam tak jaga, masalah sosial makin bertambah lah macam yelah ada orang yang macam tak jaga
tak jaga ni lah macam imej, tak jaga ni lah macam image
tak adalah, tak ada lah
sebab negara luar pun ada macam ni, sebab negara luar pun ada macam ni
macam imej, macam image
imej masyarakat, imeshmashallah ker
ha di [UNK] sendiri la macam maruah ke macam yalah, haa dimensi ni lah macam maruah ke macam ye lah
ha nak macam pentingkan dirilah lepas tu, haa nak macam pentingkan dirilah lepas tu
macam kalau tak ni kan dia orang macam senang kan macam nak cari macam, macam kalau tak ni kan dia orang macam senang kan macam nak cari macam
apa ni yang, apa ni yang
yang macam, yang macam
[UNK] dia orang macam tak jaga kan, dia orang macam tak jaga kan
itulah macam, itulah macam
keburukan dia, kau berkata ni
ha ah, haa
iyalah, dia nak
mesti satu warung tu mesti ada yang baik yang buruk, mesti satu warung tu mesti ada yang baik yang buruk
so gunalah benda tu baik baik, so gunalah benda tu baikbaik
daripada yang buruk, daripada yang buruk
mungkin tu masa mungkin tu masih ni lagi kot ah member dia, mungkin tu masih ni lagi kot member dia
pengaruh, pengaruh
lagi satu ah nilah, dia satu ni lah
kalau macam nak cari apa apa kan senangkan, kalau macam nak cari apaapa kan senang kan
contoh macam kerja kau tak siap ke, contoh macam kerja kau tak siap ke
mencontoh macam sejarah sejarah, mencintai wajah sejarah sejarah
macam sejarah [UNK] kan mesti cari ni kan apa jawapan selidik kan, macam sejarah kertas siri kan mesti cari ni kan apa jawapan siri kan
so macam senang kan cari kat Internet ke, so macam senang lah cari kat internet ke
macam kau nak tahulah macam, macam kau nak tahulah macam
ah apa lagi macam nak cari tempat, apa lagi macam nak cari tempat
tempat bercuti ke kan senang dia macam kau dekat hujung, tempat bercuti ke kan senang je macam kau dekat ujung
kau cari app dia je kau download app lepas tu kau search je nak cari kat mana, kau cari apps dia je kau download apps lepas tu kau search dia nak cari kat mana
daripada kau daripada cari dekat, daripada kau daripada syarikat dekat
ha ah, haaah
cari kat surat khabar ke, cerita suruh khabar ke
mudahlah, mudalah
so macam, terima kasih
jimat masa, ji mak rasa
tak adalah buang masa dari ni daripada ni kan, tak jelah buang masa daripada ni kan
banyak lagi benda nak buat, banyak lagi benda nak buat
macm aku hari tu juga ada ni kan masak mas, macam aku hari tu juga ada ni yang masak
ha ah macam aku hari tu kan ada buat masak masak kan tu pun aku tengok dekat phone juga so macam, macam aku hari tu kan ada buat masakmasak kan itu pun aku tengok dekat phone juga so macam
senang kan lagi senang dari lagi senang dari kau tengok buku ah, senang lagi senang dari kau tengok buku lah
lagi satu [UNK] ada banyak nak cari macam dalam buku kan kadang kadang dia macam, dan satu ada pun ada banyak nak cari macam dalam buku kan kadangkadang dia macam
tertumpu pada macam western western je, dia tumpu pada macam westernwestern je
kau ah, kau
betul tak kalau western western je, tak nak guna wasting wasting you
macam kalau, macam kalau
ha yalah lepas tu, ayat yang terakhir
lepas tu kita nak cari nak cari resepi lain lagi, lepas tu kita nak cari nak cari resepi lain lagi
nak kena beli buku lain lagi macam [UNK] kalau guna phone ke apa kan senangkan macam, nak kena beli buku lain lagi macam kalau guna phone ke apa kan senang kan macam
taip je terus dapat, type d terus dapat
ah betul lah tu, haa tuladu
hak, haa
ha ah, haa
ah betul la itu, haa betul itu
ah okey la, okey lah
ah ini ah, haa ni aaa
ada ini, ada ni
orang orang datang okey, orangorang datang okey
okey, okey
ha hai aku rasa kau patut makan nasi lemak, hai aku rasa kau patut makan nasi lemak
sebab, sebab
sebab nasi lemak tu makanan yang sangat famous dekat Malaysia, sebab nasi lemak tu makanan yang sangat famous dekat malaysia
rasa dia, assalamualaikum
boleh tahan kalau, bulitahan kalau
kalau macam, alhamdulillah
ada, aduh
dia boleh, dibeli
makan dengan pelbagai jenis ah ayam boleh, makan dengan pelbagai jenis lah ayam boleh
sotong boleh sotong sambal, sotong boleh sotong sambal
um, hmm
bahan bahan dia kau kena ada santan, bahanbahan dia kau kena ada santai
ada halia, ada halia
ah, aa
santan halia tu kau gabungkan dalam nasi lemak tu, santan dan halia tu kau gabungkan dalam nasi lemak tu
nasi tu yang kau nak ah tanak, nasi tu yang kau nak tak nak
hiasan dia ikut daripada kreativiti engkau kau nak buat hiasan dia macam mana, ia sana ikut daripada kreativiti kau kau nak buat ia sana macam mana
ah kalau kau nampak lagi menarik buat hiasan tu ca-cantik dan tak ada comot comot pada makanan tu, kalau nak nampak lagi menarik buat hiasan tu cantikcantik dan tak ada comotcomot pada makanan tu
um tak pasti tapi dia memang makanan, tak pasti tapi dia memang makanan
makanan orang Malaysia, makanan orang nampak awak
semua orang boleh makan, semua orang boleh makan
ha kalau sambal dia, dan kita akan sambil dia
kita kena guna um, kita kena guna
bawang lada kering lepas tu blender, bawang lada kering lepas tu blender
and then, dan kemudian
ha, hai
lepas tu dah tu, terima kasih kerana menonton
kau goreng kan ha sambal dia tu ha ikut macam mana kau nak pedas ke tak nak ke, kau gorengkan sambal tu ikut macam mana kau nak pedas ke tak nak ke
okey, okey
K boleh apa lagi makanan yang kau nak, okey boleh apa lagi makanan yang kau nak
bagi aku apa yang sedap makanan Malaysia, bagi aku apa yang sedap makanan malaysia
nasi goreng, nasi goreng
nasi goreng dia makanan yang simple ah tak banyak bahan dan nasi goreng dia ada pelbagai jenis, nasi goreng dia makanan yang simple tak banyak bahan dan nasi goreng dia ada pelbagai jenis
contoh nya Nasi Goreng Kampung Nasi Goreng Cina, contohnya nasi goreng kampung nasi goreng cina
ha dan ada juga yang buat nasi goreng daging merah, dan ada juga yang buat nasi goreng daging merah
ah perlu [UNK], aa pelukamun
lada cili padi, lada cili padi
bawang, bawang
ha lepas tu goreng lah nasi tu guna, lepas tu goreng yang nasi tu guna
garam seberapa banyak yang kau nak, garam seberapa banyak yang kau nak
tu je, terima kasih
oh laksa apa yang sedapnya, oh laksa apa yang sedapnya
laksa Penang dia macam mana, raksa penang dia macam mana
laksa tu, terima kasih
iya, ya
ada lagi ke bahan lain yang perlukan dalam tu laksa Penang, ada lagi ke bahan lain yang perlukan dalam tu laksa pining
um hm, hmm
oh bunga kantan, bawa bunga kantan
oh, oh
laksa Penang dengan laksa Johor ada banyak beza ke, laksa penin dengan laksa johor ada banyak bezakah
